
IN512,OUT4096
8e-05,52.4288,512,4096,1
0.000104,40.3298,512,4096,2
0.000149,28.1497,512,4096,4
0.000198,21.1834,512,4096,6
0.000243,17.2605,512,4096,8
0.000289,14.5132,512,4096,10
0.000346,12.1223,512,4096,12
0.00053,7.91378,512,4096,14
0.0006,6.99051,512,4096,16
0.00068,6.16809,512,4096,18
0.001,4.1943,512,4096,20
IN1024,OUT4096
0.00012,69.9051,1024,4096,1
0.000173,48.4891,1024,4096,2
0.000253,33.1566,1024,4096,4
0.000345,24.3148,1024,4096,6
0.000438,19.1521,1024,4096,8
0.000526,15.9479,1024,4096,10
0.000658,12.7486,1024,4096,12
0.000969,8.65697,1024,4096,14
0.001156,7.25658,1024,4096,16
0.0014,5.99186,1024,4096,18
0.001633,5.13693,1024,4096,20
IN2048,OUT4096
0.00019,88.3011,2048,4096,1
0.000284,59.0747,2048,4096,2
0.000462,36.3143,2048,4096,4
0.000647,25.9308,2048,4096,6
0.000822,20.4102,2048,4096,8
0.001002,16.7437,2048,4096,10
0.00161,10.4206,2048,4096,12
0.00168,9.98644,2048,4096,14
0.002043,8.21205,2048,4096,16
0.002628,6.38402,2048,4096,18
0.003338,5.02613,2048,4096,20
IN4096,OUT4096
0.00035,95.8698,4096,4096,1
0.00052,64.5278,4096,4096,2
0.00088,38.13,4096,4096,4
0.001236,27.1476,4096,4096,6
0.00159,21.1034,4096,4096,8
0.001945,17.2516,4096,4096,10
0.002413,13.9057,4096,4096,12
0.003367,9.96568,4096,4096,14
0.004095,8.194,4096,4096,16
0.005407,6.20574,4096,4096,18
0.007029,4.77371,4096,4096,20
IN12544,OUT4096
0.001202,85.4912,12544,4096,1
0.002097,49.0036,12544,4096,2
0.003659,28.0843,12544,4096,4
0.005283,19.4512,12544,4096,6
0.006786,15.143,12544,4096,8
0.008812,11.6614,12544,4096,10
0.011792,8.71442,12544,4096,12
0.015347,6.6958,12544,4096,14
0.019678,5.2221,12544,4096,16
0.025091,4.09551,12544,4096,18
0.032273,3.1841,12544,4096,20
