
IN256OUT64,IN256OUT64,,,BATCH
0.000791,1.32563,512,1024,20
0.001153,0.909433,512,1024,30
0.00153,0.685344,512,1024,40
0.001908,0.549568,512,1024,50
0.00228,0.459902,512,1024,60
IN512OUT2048,IN512OUT2048,,,BATCH
6.1e-05,34.3795,512,2048,1
0.000111,18.8933,512,2048,2
0.000191,10.9799,512,2048,4
0.000271,7.73857,512,2048,6
0.000342,6.13202,512,2048,8
0.000424,4.94611,512,2048,10
0.000496,4.22813,512,2048,12
0.000577,3.63458,512,2048,14
0.000657,3.19201,512,2048,16
0.000731,2.86888,512,2048,18
0.00081,2.58908,512,2048,20
0.001202,1.74472,512,2048,30
0.001583,1.3248,512,2048,40
0.001964,1.0678,512,2048,50
0.00234,0.896219,512,2048,60
IN512OUT4096,IN512OUT4096,,,BATCH
7.7e-05,54.4715,512,4096,1
0.000127,33.026,512,4096,2
0.000215,19.5084,512,4096,4
0.000309,13.5738,512,4096,6
0.000399,10.512,512,4096,8
0.000494,8.49049,512,4096,10
0.000584,7.18203,512,4096,12
0.00067,6.26016,512,4096,14
0.000764,5.48993,512,4096,16
0.000856,4.89989,512,4096,18
0.00095,4.41506,512,4096,20
0.001405,2.98527,512,4096,30
0.001856,2.25986,512,4096,40
0.002312,1.81415,512,4096,50
0.002751,1.52465,512,4096,60
IN1024OUT64,IN1024OUT64,,,BATCH
8.3e-05,1.57918,1024,64,1
0.000139,0.942964,1024,64,2
0.000248,0.528516,1024,64,4
0.000355,0.369217,1024,64,6
0.000461,0.284321,1024,64,8
0.000573,0.228747,1024,64,10
0.000676,0.193893,1024,64,12
0.000785,0.166971,1024,64,14
0.000895,0.146449,1024,64,16
0.001063,0.123304,1024,64,18
0.001241,0.105618,1024,64,20
0.001978,0.0662649,1024,64,30
0.002686,0.0487982,1024,64,40
0.003381,0.0387672,1024,64,50
0.004083,0.0321019,1024,64,60
IN1024OUT128,IN1024OUT128,,,BATCH
8.5e-05,3.08405,1024,128,1
0.00014,1.87246,1024,128,2
0.00026,1.00825,1024,128,4
0.000354,0.74052,1024,128,6
0.000466,0.562541,1024,128,8
0.000649,0.40392,1024,128,10
0.000843,0.310966,1024,128,12
0.000941,0.27858,1024,128,14
0.001116,0.234896,1024,128,16
0.001196,0.219184,1024,128,18
0.001389,0.188729,1024,128,20
0.00208,0.126031,1024,128,30
0.002729,0.0960586,1024,128,40
0.003421,0.0766279,1024,128,50
0.004178,0.0627439,1024,128,60
IN1024OUT256,IN1024OUT256,,,BATCH
8.9e-05,5.89088,1024,256,1
0.00014,3.74491,1024,256,2
0.000246,2.13125,1024,256,4
0.000385,1.36179,1024,256,6
0.000555,0.944663,1024,256,8
0.000717,0.731225,1024,256,10
0.000862,0.608223,1024,256,12
0.00098,0.534988,1024,256,14
0.001097,0.477929,1024,256,16
0.001275,0.411206,1024,256,18
0.001401,0.374224,1024,256,20
0.002078,0.252304,1024,256,30
0.002772,0.189137,1024,256,40
0.003473,0.150961,1024,256,50
0.004141,0.126609,1024,256,60
IN1024OUT512,IN1024OUT512,,,BATCH
9.5e-05,11.0376,1024,512,1
0.000142,7.38434,1024,512,2
0.000279,3.75834,1024,512,4
0.000447,2.34581,1024,512,6
0.000589,1.78026,1024,512,8
0.000726,1.44432,1024,512,10
0.000848,1.23653,1024,512,12
0.001003,1.04544,1024,512,14
0.001142,0.918193,1024,512,16
0.001309,0.801051,1024,512,18
0.001415,0.741043,1024,512,20
0.002104,0.498373,1024,512,30
0.002793,0.37543,1024,512,40
0.003512,0.298569,1024,512,50
0.004162,0.25194,1024,512,60
IN1024OUT1024,IN1024OUT1024,,,BATCH
8.5e-05,24.6724,1024,1024,1
0.000171,12.264,1024,1024,2
0.000317,6.61562,1024,1024,4
0.000435,4.82104,1024,1024,6
0.000573,3.65995,1024,1024,8
0.000727,2.88467,1024,1024,10
0.000871,2.40775,1024,1024,12
0.001007,2.08257,1024,1024,14
0.001144,1.83317,1024,1024,16
0.001281,1.63712,1024,1024,18
0.001431,1.46552,1024,1024,20
0.002117,0.990624,1024,1024,30
0.002805,0.747648,1024,1024,40
0.003495,0.600043,1024,1024,50
0.004201,0.499203,1024,1024,60
IN1024OUT2048,IN1024OUT2048,,,BATCH
0.000105,39.9458,1024,2048,1
0.000173,24.2445,1024,2048,2
0.000315,13.3153,1024,2048,4
0.000458,9.15787,1024,2048,6
0.000596,7.03742,1024,2048,8
0.00074,5.66798,1024,2048,10
0.000879,4.77168,1024,2048,12
0.001019,4.1161,1024,2048,14
0.001157,3.62515,1024,2048,16
0.001301,3.22391,1024,2048,18
0.00144,2.91271,1024,2048,20
0.002144,1.9563,1024,2048,30
0.002837,1.47843,1024,2048,40
0.003545,1.18316,1024,2048,50
0.004244,0.98829,1024,2048,60
IN1024OUT4096,IN1024OUT4096,,,BATCH
0.000117,71.6975,1024,4096,1
0.000199,42.1538,1024,4096,2
0.000368,22.7951,1024,4096,4
0.000537,15.6212,1024,4096,6
0.000778,10.7823,1024,4096,8
0.000862,9.73156,1024,4096,10
0.001025,8.18401,1024,4096,12
0.001196,7.01389,1024,4096,14
0.001362,6.15904,1024,4096,16
0.001534,5.46845,1024,4096,18
0.0017,4.93448,1024,4096,20
0.002519,3.33013,1024,4096,30
0.003346,2.50706,1024,4096,40
0.004151,2.02086,1024,4096,50
0.004983,1.68345,1024,4096,60
IN2048OUT64,IN2048OUT64,,,BATCH
0.000129,2.03212,2048,64,1
0.000234,1.12027,2048,64,2
0.000432,0.606815,2048,64,4
0.000631,0.415442,2048,64,6
0.000832,0.315077,2048,64,8
0.001268,0.206738,2048,64,10
0.001501,0.174646,2048,64,12
0.001759,0.14903,2048,64,14
0.002016,0.130032,2048,64,16
0.002279,0.115026,2048,64,18
0.002563,0.10228,2048,64,20
0.003893,0.0673373,2048,64,30
0.005224,0.0501807,2048,64,40
0.006509,0.0402741,2048,64,50
0.007778,0.0337033,2048,64,60
IN2048OUT128,IN2048OUT128,,,BATCH
0.000133,3.94201,2048,128,1
0.000234,2.24055,2048,128,2
0.000437,1.19974,2048,128,4
0.000782,0.670445,2048,128,6
0.001013,0.51756,2048,128,8
0.001278,0.410241,2048,128,10
0.001576,0.33267,2048,128,12
0.001837,0.285404,2048,128,14
0.002093,0.250496,2048,128,16
0.002385,0.219827,2048,128,18
0.002637,0.19882,2048,128,20
0.003941,0.133034,2048,128,30
0.005574,0.0940596,2048,128,40
0.006544,0.0801174,2048,128,50
0.007834,0.0669247,2048,128,60
IN2048OUT256,IN2048OUT256,,,BATCH
0.000133,7.88403,2048,256,1
0.000231,4.53929,2048,256,2
0.000554,1.89274,2048,256,4
0.000817,1.28345,2048,256,6
0.001047,1.00151,2048,256,8
0.001342,0.781353,2048,256,10
0.001606,0.652912,2048,256,12
0.001862,0.563145,2048,256,14
0.002093,0.500992,2048,256,16
0.002399,0.437089,2048,256,18
0.002649,0.395838,2048,256,20
0.003949,0.26553,2048,256,30
0.005265,0.19916,2048,256,40
0.006591,0.159092,2048,256,50
0.007854,0.133509,2048,256,60
IN2048OUT512,IN2048OUT512,,,BATCH
0.00013,16.1319,2048,512,1
0.000266,7.88403,2048,512,2
0.000556,3.77186,2048,512,4
0.000825,2.542,2048,512,6
0.001079,1.94361,2048,512,8
0.00135,1.55345,2048,512,10
0.00161,1.30258,2048,512,12
0.001868,1.12267,2048,512,14
