
0.00016,117.965,64,64,16,16,1
0.000297,127.1,64,64,16,16,2
0.00056,134.817,64,64,16,16,4
0.000822,137.769,64,64,16,16,6
0.001077,140.2,64,64,16,16,8
0.001378,136.969,64,64,16,16,10
0.001724,131.376,64,64,16,16,12
0.002028,130.296,64,64,16,16,14
0.002512,120.219,64,64,16,16,16
0.002644,128.494,64,64,16,16,18
0.002954,127.789,64,64,16,16,20

0.00027,279.62,64,64,32,32,1
0.000514,293.764,64,64,32,32,2
0.000989,305.349,64,64,32,32,4
0.00155,292.248,64,64,32,32,6
0.002099,287.746,64,64,32,32,8
0.00266,283.825,64,64,32,32,10
0.003221,281.27,64,64,32,32,12
0.003701,285.589,64,64,32,32,14
0.004273,282.696,64,64,32,32,16
0.004797,283.293,64,64,32,32,18
0.005343,282.603,64,64,32,32,20

0.001546,195.336,64,64,64,64,1
0.003098,194.958,64,64,64,64,2
0.006193,195.052,64,64,64,64,4
0.009295,194.937,64,64,64,64,6
0.012414,194.612,64,64,64,64,8
0.01549,194.958,64,64,64,64,10
0.018575,195.094,64,64,64,64,12
0.021611,195.635,64,64,64,64,14
0.024732,195.368,64,64,64,64,16
0.02778,195.674,64,64,64,64,18
0.030864,195.691,64,64,64,64,20

0.000497,151.906,128,128,16,16,1
0.000965,156.471,128,128,16,16,2
0.002033,148.544,128,128,16,16,4
0.003152,143.713,128,128,16,16,6
0.004142,145.818,128,128,16,16,8
0.005235,144.217,128,128,16,16,10
0.006292,143.988,128,128,16,16,12
0.007338,144.04,128,128,16,16,14
0.008407,143.685,128,128,16,16,16
0.009418,144.293,128,128,16,16,18
0.010441,144.617,128,128,16,16,20

0.000897,336.667,128,128,32,32,1
0.00184,328.25,128,128,32,32,2
0.003784,319.228,128,128,32,32,4
0.005657,320.3,128,128,32,32,6
0.007538,320.499,128,128,32,32,8
0.009407,321.027,128,128,32,32,10
0.01128,321.266,128,128,32,32,12
0.013199,320.317,128,128,32,32,14
0.015033,321.415,128,128,32,32,16
0.016898,321.684,128,128,32,32,18
0.018794,321.368,128,128,32,32,20

0.005929,203.737,128,128,64,64,1
0.012009,201.176,128,128,64,64,2
0.02406,200.825,128,128,64,64,4
0.036222,200.093,128,128,64,64,6
0.048304,200.06,128,128,64,64,8
0.060008,201.3,128,128,64,64,10
0.07165,202.31,128,128,64,64,12
0.083882,201.61,128,128,64,64,14
0.095833,201.677,128,128,64,64,16
0.107775,201.747,128,128,64,64,18
0.115292,209.548,128,128,64,64,20

0.001975,152.906,256,256,16,16,1
0.004008,150.694,256,256,16,16,2
0.007977,151.43,256,256,16,16,4
0.01196,151.5,256,256,16,16,6
0.015929,151.668,256,256,16,16,8
0.019928,151.54,256,256,16,16,10
0.02392,151.5,256,256,16,16,12
0.027882,151.634,256,256,16,16,14
0.03186,151.658,256,256,16,16,16
0.035847,151.639,256,256,16,16,18
0.039839,151.605,256,256,16,16,20

0.003698,326.652,256,256,32,32,1
0.007344,328.965,256,256,32,32,2
0.014736,327.893,256,256,32,32,4
0.022047,328.741,256,256,32,32,6
0.029429,328.373,256,256,32,32,8
0.036692,329.216,256,256,32,32,10
0.044025,329.256,256,256,32,32,12
0.051358,329.285,256,256,32,32,14
0.058832,328.518,256,256,32,32,16
0.066113,328.88,256,256,32,32,18
0.07341,329.099,256,256,32,32,20

0.024503,197.194,256,256,64,64,1
0.048881,197.698,256,256,64,64,2
0.097732,197.759,256,256,64,64,4
0.146018,198.544,256,256,64,64,6
0.193964,199.288,256,256,64,64,8
0.237455,203.484,256,256,64,64,10
0.280409,206.777,256,256,64,64,12
0.3267,207.058,256,256,64,64,14
0.370419,208.708,256,256,64,64,16
0.413866,210.148,256,256,64,64,18
0.454948,212.413,256,256,64,64,20

0.007846,153.959,512,512,16,16,1
0.015664,154.234,512,512,16,16,2
0.031293,154.406,512,512,16,16,4
0.046949,154.375,512,512,16,16,6
0.06251,154.594,512,512,16,16,8
0.07813,154.609,512,512,16,16,10
0.093697,154.706,512,512,16,16,12
0.109373,154.622,512,512,16,16,14
0.124835,154.823,512,512,16,16,16
0.140453,154.808,512,512,16,16,18
0.156124,154.744,512,512,16,16,20

0.014922,323.806,512,512,32,32,1
0.029838,323.871,512,512,32,32,2
0.059657,323.975,512,512,32,32,4
0.089487,323.969,512,512,32,32,6
0.119047,324.701,512,512,32,32,8
0.148696,324.947,512,512,32,32,10
0.176511,328.49,512,512,32,32,12
0.201362,335.941,512,512,32,32,14
0.226442,341.409,512,512,32,32,16
0.24944,348.673,512,512,32,32,18
0.277775,347.896,512,512,32,32,20

0.100444,192.419,512,512,64,64,1
0.200895,192.412,512,512,64,64,2
0.380597,203.127,512,512,64,64,4
0.567562,204.32,512,512,64,64,6
0.743623,207.926,512,512,64,64,8
0.926369,208.636,512,512,64,64,10
1.10375,210.128,512,512,64,64,12
1.29852,208.378,512,512,64,64,14
1.48144,208.741,512,512,64,64,16
1.66518,208.922,512,512,64,64,18
1.83306,210.875,512,512,64,64,20

