
IN256,OUT64,,,BATCH
0.000325,3.22639,512,1024,40
0.000401,2.6149,512,1024,50
0.000445,2.35635,512,1024,60
IN512,OUT2048,,,BATCH
6.2e-05,33.825,512,2048,1
7.9e-05,26.5462,512,2048,2
0.000106,19.7845,512,2048,4
0.000123,17.05,512,2048,6
0.00015,13.981,512,2048,8
0.000171,12.264,512,2048,10
0.000198,10.5917,512,2048,12
0.000226,9.27943,512,2048,14
0.000248,8.45626,512,2048,16
0.00027,7.76723,512,2048,18
0.000299,7.01389,512,2048,20
0.000453,4.62947,512,2048,30
0.000714,2.93719,512,2048,40
0.001004,2.0888,512,2048,50
0.001237,1.69535,512,2048,60
IN512,OUT4096,,,BATCH
0.000102,41.1206,512,4096,1
0.000102,41.1206,512,4096,2
0.000148,28.3399,512,4096,4
0.000192,21.8453,512,4096,6
0.00024,17.4763,512,4096,8
0.000283,14.8209,512,4096,10
0.000349,12.0181,512,4096,12
0.000451,9.30001,512,4096,14
0.000549,7.6399,512,4096,16
0.000633,6.62607,512,4096,18
0.000844,4.96955,512,4096,20
0.001179,3.55751,512,4096,30
0.001695,2.47452,512,4096,40
0.001964,2.13559,512,4096,50
0.00239,1.75494,512,4096,60
IN1024,OUT64,,,BATCH
8.5e-05,1.54202,1024,64,1
8.8e-05,1.48945,1024,64,2
9.7e-05,1.35126,1024,64,4
0.000108,1.21363,1024,64,6
0.000123,1.06563,1024,64,8
0.000124,1.05703,1024,64,10
0.000125,1.04858,1024,64,12
0.000132,0.99297,1024,64,14
0.000145,0.903945,1024,64,16
0.000159,0.824352,1024,64,18
0.000169,0.775574,1024,64,20
0.000206,0.636272,1024,64,30
0.000249,0.526394,1024,64,40
0.000281,0.466448,1024,64,50
0.000315,0.416102,1024,64,60
IN1024,OUT128,,,BATCH
8.6e-05,3.04819,1024,128,1
8.8e-05,2.97891,1024,128,2
9.5e-05,2.75941,1024,128,4
0.000104,2.52062,1024,128,6
0.000119,2.20289,1024,128,8
0.000129,2.03212,1024,128,10
0.000141,1.85918,1024,128,12
0.000156,1.68041,1024,128,14
0.000163,1.60825,1024,128,16
0.00017,1.54202,1024,128,18
0.000173,1.51528,1024,128,20
0.000217,1.20804,1024,128,30
0.00028,0.936229,1024,128,40
0.000286,0.916587,1024,128,50
0.000321,0.816648,1024,128,60
IN1024,OUT256,,,BATCH
9.4e-05,5.57753,1024,256,1
0.000107,4.89989,1024,256,2
0.000147,3.56659,1024,256,4
0.000127,4.12825,1024,256,6
0.000141,3.71835,1024,256,8
0.000139,3.77186,1024,256,10
0.00015,3.49525,1024,256,12
0.000155,3.3825,1024,256,14
0.000159,3.29741,1024,256,16
0.000169,3.1023,1024,256,18
0.000176,2.97891,1024,256,20
0.000217,2.41607,1024,256,30
0.00026,2.01649,1024,256,40
0.000302,1.73605,1024,256,50
0.000338,1.55115,1024,256,60
IN1024,OUT512,,,BATCH
8.6e-05,12.1927,1024,512,1
8.6e-05,12.1927,1024,512,2
0.00011,9.53251,1024,512,4
0.000132,7.94376,1024,512,6
0.00014,7.48983,1024,512,8
0.000144,7.28178,1024,512,10
0.000166,6.31672,1024,512,12
0.000168,6.24152,1024,512,14
0.000187,5.60736,1024,512,16
0.000196,5.34988,1024,512,18
0.000214,4.89989,1024,512,20
0.000279,3.75834,1024,512,30
0.000338,3.1023,1024,512,40
0.0004,2.62144,1024,512,50
0.00046,2.27951,1024,512,60
IN1024,OUT1024,,,BATCH
8.6e-05,24.3855,1024,1024,1
0.000102,20.5603,1024,1024,2
0.000122,17.1898,1024,1024,4
0.000143,14.6654,1024,1024,6
0.00017,12.3362,1024,1024,8
0.000179,11.7159,1024,1024,10
0.000213,9.84578,1024,1024,12
0.000241,8.70188,1024,1024,14
0.000264,7.94376,1024,1024,16
0.000293,7.15752,1024,1024,18
0.000302,6.94421,1024,1024,20
0.000424,4.94611,1024,1024,30
0.000549,3.81995,1024,1024,40
0.000696,3.01315,1024,1024,50
0.000953,2.20058,1024,1024,60
IN1024,OUT2048,,,BATCH
0.000105,39.9458,1024,2048,1
0.000116,36.1578,1024,2048,2
0.000163,25.7319,1024,2048,4
0.000206,20.3607,1024,2048,6
0.000253,16.5783,1024,2048,8
0.000297,14.1222,1024,2048,10
0.000349,12.0181,1024,2048,12
0.000409,10.255,1024,2048,14
0.000449,9.34143,1024,2048,16
0.0005,8.38861,1024,2048,18
0.000533,7.86924,1024,2048,20
0.000917,4.57394,1024,2048,30
0.001714,2.44709,1024,2048,40
0.00187,2.24294,1024,2048,50
0.002355,1.78102,1024,2048,60
IN1024,OUT4096,,,BATCH
0.00012,69.9051,1024,4096,1
0.000164,51.15,1024,4096,2
0.000254,33.026,1024,4096,4
0.000345,24.3148,1024,4096,6
0.000447,18.7665,1024,4096,8
0.000526,15.9479,1024,4096,10
0.000668,12.5578,1024,4096,12
0.000955,8.78388,1024,4096,14
0.00108,7.76723,1024,4096,16
0.001419,5.91163,1024,4096,18
0.00154,5.44715,1024,4096,20
0.002559,3.27808,1024,4096,30
0.0034,2.46724,1024,4096,40
0.004127,2.03262,1024,4096,50
0.004941,1.69776,1024,4096,60
IN2048,OUT64,,,BATCH
0.000131,2.0011,2048,64,1
0.000137,1.91346,2048,64,2
0.000152,1.72463,2048,64,4
0.000151,1.73605,2048,64,6
0.000174,1.50657,2048,64,8
0.000189,1.38701,2048,64,10
0.000198,1.32396,2048,64,12
0.000221,1.18617,2048,64,14
0.000219,1.197,2048,64,16
0.000231,1.13482,2048,64,18
0.000235,1.11551,2048,64,20
0.000271,0.967321,2048,64,30
0.000325,0.806597,2048,64,40
0.00036,0.728178,2048,64,50
0.000397,0.660312,2048,64,60
IN2048,OUT128,,,BATCH
0.000155,3.3825,2048,128,1
0.000135,3.88361,2048,128,2
0.000145,3.61578,2048,128,4
0.00017,3.08405,2048,128,6
0.000191,2.74496,2048,128,8
0.000203,2.5827,2048,128,10
0.000208,2.52062,2048,128,12
0.000224,2.34057,2048,128,14
0.000221,2.37234,2048,128,16
0.000227,2.30964,2048,128,18
0.000244,2.14872,2048,128,20
0.000288,1.82044,2048,128,30
0.000332,1.57918,2048,128,40
0.000376,1.39438,2048,128,50
0.000414,1.2664,2048,128,60
IN2048,OUT256,,,BATCH
0.000145,7.23156,2048,256,1
0.000134,7.82519,2048,256,2
0.000171,6.13202,2048,256,4
0.000278,3.77186,2048,256,6
0.000191,5.48993,2048,256,8
0.000201,5.2168,2048,256,10
0.000216,4.85452,2048,256,12
0.000231,4.53929,2048,256,14
0.000238,4.40578,2048,256,16
0.000241,4.35094,2048,256,18
0.000251,4.17759,2048,256,20
0.000312,3.36082,2048,256,30
0.000375,2.7962,2048,256,40
0.000474,2.21219,2048,256,50
0.000491,2.13559,2048,256,60
IN2048,OUT512,,,BATCH
0.000132,15.8875,2048,512,1
0.000168,12.483,2048,512,2
0.000176,11.9156,2048,512,4
0.000196,10.6998,2048,512,6
0.000209,10.0342,2048,512,8
0.000231,9.07858,2048,512,10
0.000246,8.52501,2048,512,12
0.000259,8.09711,2048,512,14
0.000305,6.87591,2048,512,16
0.000317,6.61562,2048,512,18
0.000323,6.49273,2048,512,20
0.00045,4.66034,2048,512,30
0.000565,3.71177,2048,512,40
0.000695,3.01748,2048,512,50
0.000805,2.60516,2048,512,60
IN2048,OUT1024,,,BATCH
0.000164,25.575,2048,1024,1
0.000166,25.2669,2048,1024,2
0.000192,21.8453,2048,1024,4
0.00023,18.2361,2048,1024,6
0.00029,14.4631,2048,1024,8
0.000297,14.1222,2048,1024,10
0.000369,11.3667,2048,1024,12
0.000423,9.91561,2048,1024,14
0.000476,8.81156,2048,1024,16
0.000532,7.88403,2048,1024,18
0.00054,7.76723,2048,1024,20
0.000784,5.34988,2048,1024,30
0.001024,4.096,2048,1024,40
0.001351,3.10459,2048,1024,50
0.001911,2.19482,2048,1024,60
IN2048,OUT2048,,,BATCH
0.000171,49.0562,2048,2048,1
0.000187,44.8589,2048,2048,2
0.000281,29.8527,2048,2048,4
0.000359,23.3666,2048,2048,6
0.000462,18.1572,2048,2048,8
0.00053,15.8276,2048,2048,10
0.000644,13.0258,2048,2048,12
0.000764,10.9799,2048,2048,14
0.000828,10.1312,2048,2048,16
0.000952,8.81156,2048,2048,18
0.001011,8.29734,2048,2048,20
0.001945,4.31291,2048,2048,30
0.003126,2.6835,2048,2048,40
0.004079,2.05654,2048,2048,50
0.005166,1.62381,2048,2048,60
IN2048,OUT4096,,,BATCH
0.000192,87.3813,2048,4096,1
0.000281,59.7054,2048,4096,2
0.000457,36.7116,2048,4096,4
0.00064,26.2144,2048,4096,6
0.000824,20.3607,2048,4096,8
0.001003,16.727,2048,4096,10
0.001285,13.0562,2048,4096,12
0.001663,10.0885,2048,4096,14
0.00204,8.22413,2048,4096,16
0.002777,6.04149,2048,4096,18
0.003112,5.39114,2048,4096,20
0.004796,3.49817,2048,4096,30
0.00688,2.43855,2048,4096,40
0.008711,1.92598,2048,4096,50
0.010459,1.60409,2048,4096,60
IN4096,OUT64,,,BATCH
0.000226,2.31986,4096,64,1
0.000228,2.29951,4096,64,2
0.000237,2.21219,4096,64,4
0.000297,1.76528,4096,64,6
0.000308,1.70223,4096,64,8
0.000316,1.65914,4096,64,10
0.000325,1.61319,4096,64,12
0.000338,1.55115,4096,64,14
0.00034,1.54202,4096,64,16
0.000356,1.47272,4096,64,18
0.000362,1.44831,4096,64,20
0.000396,1.32396,4096,64,30
0.00044,1.19156,4096,64,40
0.000509,1.03004,4096,64,50
0.000561,0.93456,4096,64,60
IN4096,OUT128,,,BATCH
0.000225,4.66034,4096,128,1
0.000225,4.66034,4096,128,2
0.000292,3.59101,4096,128,4
0.00031,3.3825,4096,128,6
0.00031,3.3825,4096,128,8
0.000322,3.25645,4096,128,10
0.000335,3.13008,4096,128,12
0.00034,3.08405,4096,128,14
0.000348,3.01315,4096,128,16
0.00036,2.91271,4096,128,18
0.000362,2.89662,4096,128,20
0.000429,2.44423,4096,128,30
0.000478,2.19367,4096,128,40
0.000562,1.86579,4096,128,50
0.000602,1.74182,4096,128,60
IN4096,OUT256,,,BATCH
0.000223,9.40427,4096,256,1
0.000286,7.3327,4096,256,2
0.000331,6.33581,4096,256,4
0.000309,6.7869,4096,256,6
0.000315,6.65763,4096,256,8
0.000326,6.43298,4096,256,10
0.000358,5.85797,4096,256,12
0.000367,5.71431,4096,256,14
0.000385,5.44715,4096,256,16
0.00039,5.37731,4096,256,18
0.00041,5.11501,4096,256,20
0.00049,4.2799,4096,256,30
0.000609,3.4436,4096,256,40
0.000745,2.81497,4096,256,50
0.000864,2.42726,4096,256,60
IN4096,OUT512,,,BATCH
0.000287,14.6143,4096,512,1
0.000291,14.4134,4096,512,2
0.0003,13.981,4096,512,4
0.000335,12.5203,4096,512,6
0.000349,12.0181,4096,512,8
0.000367,11.4286,4096,512,10
0.000426,9.84578,4096,512,12
0.000436,9.61996,4096,512,14
0.000539,7.78164,4096,512,16
0.000551,7.61217,4096,512,18
0.000562,7.46317,4096,512,20
0.000812,5.1654,4096,512,30
0.001042,4.02524,4096,512,40
0.001303,3.21896,4096,512,50
0.001515,2.76852,4096,512,60
IN4096,OUT1024,,,BATCH
0.000288,29.1271,4096,1024,1
0.000292,28.7281,4096,1024,2
0.000339,24.7452,4096,1024,4
0.000416,20.1649,4096,1024,6
0.000529,15.8575,4096,1024,8
0.000539,15.5633,4096,1024,10
0.000677,12.3909,4096,1024,12
0.000772,10.8661,4096,1024,14
0.000885,9.47865,4096,1024,16
0.001011,8.29734,4096,1024,18
0.001017,8.24839,4096,1024,20
0.001492,5.62239,4096,1024,30
0.001959,4.28209,4096,1024,40
0.002703,3.10344,4096,1024,50
0.00396,2.11834,4096,1024,60
IN4096,OUT2048,,,BATCH
0.000293,57.2601,4096,2048,1
0.000331,50.6865,4096,2048,2
0.000513,32.7041,4096,2048,4
0.000662,25.3432,4096,2048,6
0.000878,19.1084,4096,2048,8
0.001005,16.6937,4096,2048,10
0.001247,13.4541,4096,2048,12
0.001472,11.3976,4096,2048,14
