
IN256OUT64,IN256OUT64,,,BATCH
0.004701,8.92215,512,1024,40
0.005877,8.92101,512,1024,50
0.007046,8.92912,512,1024,60
IN512OUT2048,IN512OUT2048,,,BATCH
0.000218,9.61996,512,2048,1
0.000423,9.91561,512,2048,2
0.000835,10.0462,512,2048,4
0.001239,10.1557,512,2048,6
0.001643,10.2113,512,2048,8
0.002053,10.2151,512,2048,10
0.002457,10.2425,512,2048,12
0.002862,10.2586,512,2048,14
0.003266,10.2739,512,2048,16
0.003674,10.2746,512,2048,18
0.004088,10.26,512,2048,20
0.006115,10.2886,512,2048,30
0.008189,10.2438,512,2048,40
0.008797,11.9197,512,2048,50
0.010172,12.3701,512,2048,60
IN512OUT4096,IN512OUT4096,,,BATCH
0.000408,10.2802,512,4096,1
0.000802,10.4596,512,4096,2
0.001589,10.5583,512,4096,4
0.002375,10.5961,512,4096,6
0.003154,10.6387,512,4096,8
0.003952,10.6131,512,4096,10
0.004731,10.6387,512,4096,12
0.005529,10.6204,512,4096,14
0.006309,10.637,512,4096,16
0.007112,10.6155,512,4096,18
0.00787,10.659,512,4096,20
0.010132,12.419,512,4096,30
0.009269,18.1004,512,4096,40
0.01185,17.6975,512,4096,50
0.012455,20.2054,512,4096,60
IN1024OUT64,IN1024OUT64,,,BATCH
7.8e-05,1.68041,1024,64,1
0.000255,1.02802,1024,64,2
0.000495,1.05917,1024,64,4
0.00073,1.0773,1024,64,6
0.001,1.04858,1024,64,8
0.001388,0.944323,1024,64,10
0.001743,0.902389,1024,64,12
0.002047,0.896438,1024,64,14
0.002317,0.905115,1024,64,16
0.002612,0.903253,1024,64,18
0.002899,0.904257,1024,64,20
0.00444,0.885622,1024,64,30
0.005886,0.890737,1024,64,40
0.007305,0.897139,1024,64,50
0.008807,0.892962,1024,64,60
IN1024OUT128,IN1024OUT128,,,BATCH
0.000135,1.94181,1024,128,1
0.000256,2.048,1024,128,2
0.000526,1.99349,1024,128,4
0.000851,1.84825,1024,128,6
0.001175,1.78481,1024,128,8
0.001513,1.73261,1024,128,10
0.0018,1.74763,1024,128,12
0.002094,1.75263,1024,128,14
0.002384,1.75936,1024,128,16
0.002653,1.77859,1024,128,18
0.002957,1.77304,1024,128,20
0.004471,1.75896,1024,128,30
0.005946,1.7635,1024,128,40
0.007451,1.75912,1024,128,50
0.008947,1.75798,1024,128,60
IN1024OUT256,IN1024OUT256,,,BATCH
0.000137,3.82692,1024,256,1
0.000287,3.65357,1024,256,2
0.000622,3.37163,1024,256,4
0.000911,3.45305,1024,256,6
0.001244,3.37163,1024,256,8
0.001536,3.41333,1024,256,10
0.00183,3.43795,1024,256,12
0.002132,3.44279,1024,256,14
0.002426,3.45779,1024,256,16
0.002728,3.45938,1024,256,18
0.003039,3.4504,1024,256,20
0.004545,3.46065,1024,256,30
0.00605,3.46637,1024,256,40
0.007561,3.46705,1024,256,50
0.009081,3.46408,1024,256,60
IN1024OUT512,IN1024OUT512,,,BATCH
0.000151,6.94421,1024,512,1
0.000333,6.29775,1024,512,2
0.00064,6.5536,1024,512,4
0.000962,6.53998,1024,512,6
0.001257,6.67351,1024,512,8
0.001583,6.62398,1024,512,10
0.001885,6.67528,1024,512,12
0.002188,6.70935,1024,512,14
0.0025,6.71089,1024,512,16
0.002835,6.65763,1024,512,18
0.003126,6.70874,1024,512,20
0.004669,6.73748,1024,512,30
0.006218,6.74542,1024,512,40
0.007787,6.73286,1024,512,50
0.009316,6.75339,1024,512,60
IN1024OUT1024,IN1024OUT1024,,,BATCH
0.000238,8.81156,1024,1024,1
0.000462,9.07858,1024,1024,2
0.000907,9.24874,1024,1024,4
0.00134,9.39023,1024,1024,6
0.001777,9.44131,1024,1024,8
0.002231,9.40005,1024,1024,10
0.002685,9.37275,1024,1024,12
0.003104,9.4588,1024,1024,14
0.003557,9.43335,1024,1024,16
0.004034,9.35764,1024,1024,18
0.004435,9.45728,1024,1024,20
0.006622,9.50084,1024,1024,30
