
IN256OUT64,IN256OUT64,,,BATCH
0.004627,4.07918,512,1024,18
0.004862,4.31335,512,1024,20
0.006708,4.68952,512,1024,30
0.00898,4.67072,512,1024,40
0.011635,4.50613,512,1024,50
0.012347,5.09553,512,1024,60
IN512OUT2048,IN512OUT2048,,,BATCH
0.000218,9.61996,512,2048,1
0.000344,12.1927,512,2048,2
0.000613,13.6845,512,2048,4
0.00271,4.64314,512,2048,6
0.003886,4.31735,512,2048,8
0.005057,4.14703,512,2048,10
0.005486,4.58728,512,2048,12
0.005988,4.90316,512,2048,14
0.007138,4.70082,512,2048,16
0.00733,5.1499,512,2048,18
0.008586,4.88505,512,2048,20
0.012283,5.12208,512,2048,30
0.011541,7.26853,512,2048,40
0.015888,6.5998,512,2048,50
0.017968,7.00296,512,2048,60
IN512OUT4096,IN512OUT4096,,,BATCH
0.000309,13.5738,512,4096,1
0.000501,16.7437,512,4096,2
0.003715,4.51607,512,4096,4
0.005313,4.73665,512,4096,6
0.006963,4.81896,512,4096,8
0.008597,4.8788,512,4096,10
0.009934,5.0666,512,4096,12
0.011853,4.95404,512,4096,14
0.01282,5.2347,512,4096,16
0.014297,5.28065,512,4096,18
0.016606,5.05155,512,4096,20
0.014959,8.4116,512,4096,30
0.022772,7.36748,512,4096,40
0.020873,10.0472,512,4096,50
0.033564,7.49786,512,4096,60
IN1024OUT64,IN1024OUT64,,,BATCH
6.2e-05,2.11406,1024,64,1
0.000106,2.47306,1024,64,2
0.000109,4.80998,1024,64,4
0.000108,7.28178,1024,64,6
0.000133,7.88403,1024,64,8
0.000213,6.15361,1024,64,10
0.000217,7.24822,1024,64,12
0.000223,8.22873,1024,64,14
0.000228,9.19804,1024,64,16
0.000256,9.216,1024,64,18
0.000259,10.1214,1024,64,20
0.000302,13.0204,1024,64,30
0.000409,12.8188,1024,64,40
0.000522,12.5548,1024,64,50
0.000569,13.8213,1024,64,60
IN1024OUT128,IN1024OUT128,,,BATCH
0.000106,2.47306,1024,128,1
0.000108,4.85452,1024,128,2
0.000133,7.88403,1024,128,4
0.000215,7.31565,1024,128,6
0.000227,9.23855,1024,128,8
0.000259,10.1214,1024,128,10
0.000268,11.7378,1024,128,12
0.000303,12.1123,1024,128,14
0.000312,13.4433,1024,128,16
0.000406,11.6221,1024,128,18
0.000412,12.7254,1024,128,20
0.000573,13.7248,1024,128,30
0.00077,13.6179,1024,128,40
0.000932,14.0635,1024,128,50
0.001091,14.4167,1024,128,60
IN1024OUT256,IN1024OUT256,,,BATCH
0.000107,4.89989,1024,256,1
0.000131,8.0044,1024,256,2
0.000224,9.36229,1024,256,4
0.000267,11.7818,1024,256,6
0.000309,13.5738,1024,256,8
0.000414,12.664,1024,256,10
0.000492,12.7875,1024,256,12
0.000536,13.6941,1024,256,14
0.000578,14.5132,1024,256,16
0.000672,14.0434,1024,256,18
0.000769,13.6356,1024,256,20
0.001074,14.6449,1024,256,30
0.004248,4.9368,1024,256,40
0.005589,4.69036,1024,256,50
0.006906,4.55507,1024,256,60
IN1024OUT512,IN1024OUT512,,,BATCH
0.000134,7.82519,1024,512,1
0.000226,9.27943,1024,512,2
0.000315,13.3153,1024,512,4
0.000497,12.6589,1024,512,6
0.000577,14.5383,1024,512,8
0.000777,13.4952,1024,512,10
0.000848,14.8383,1024,512,12
0.001032,14.2249,1024,512,14
0.001119,14.993,1024,512,16
0.001326,14.2341,1024,512,18
0.003142,6.67458,1024,512,20
0.007517,4.18482,1024,512,30
0.009185,4.56647,1024,512,40
0.011164,4.69624,1024,512,50
0.012884,4.88315,1024,512,60
IN1024OUT1024,IN1024OUT1024,,,BATCH
0.000233,9.00065,1024,1024,1
