
IN256OUT64,IN256OUT64,,,BATCH
0.002194,14.3379,512,1024,30
0.002897,14.4781,512,1024,40
0.003754,13.9661,512,1024,50
0.004361,14.4266,512,1024,60
IN512OUT2048,IN512OUT2048,,,BATCH
0.000221,9.48938,512,2048,1
0.000345,12.1574,512,2048,2
0.000601,13.9578,512,2048,4
0.000864,14.5636,512,2048,6
0.002562,6.54848,512,2048,8
0.002991,7.01154,512,2048,10
0.003692,6.81631,512,2048,12
0.00405,7.24941,512,2048,14
0.005032,6.66821,512,2048,16
0.005968,6.32519,512,2048,18
0.005844,7.17711,512,2048,20
0.009653,6.51762,512,2048,30
0.010594,7.91826,512,2048,40
0.010892,9.62703,512,2048,50
0.012483,10.08,512,2048,60
IN512OUT4096,IN512OUT4096,,,BATCH
0.00041,10.23,512,4096,1
0.000657,12.768,512,4096,2
0.002825,5.93884,512,4096,4
0.003734,6.73964,512,4096,6
0.005335,6.28949,512,4096,8
0.006858,6.11593,512,4096,10
0.007468,6.73964,512,4096,12
0.008833,6.64783,512,4096,14
0.009508,7.05815,512,4096,16
0.010209,7.39519,512,4096,18
0.01083,7.74571,512,4096,20
0.014631,8.60017,512,4096,30
0.016257,10.32,512,4096,40
0.020814,10.0757,512,4096,50
0.024777,10.1569,512,4096,60
IN1024OUT64,IN1024OUT64,,,BATCH
0.000137,0.95673,1024,64,1
0.000143,1.83317,1024,64,2
0.000152,3.44926,1024,64,4
0.000162,4.85452,1024,64,6
0.000188,5.57753,1024,64,8
0.00025,5.24288,1024,64,10
0.000281,5.59738,1024,64,12
0.000272,6.74635,1024,64,14
0.000284,7.38434,1024,64,16
0.000291,8.10755,1024,64,18
0.000298,8.79678,1024,64,20
0.000392,10.031,1024,64,30
0.000521,10.0631,1024,64,40
0.000568,11.538,1024,64,50
0.00066,11.9156,1024,64,60
IN1024OUT128,IN1024OUT128,,,BATCH
0.000137,1.91346,1024,128,1
0.00015,3.49525,1024,128,2
0.000158,6.63656,1024,128,4
0.000241,6.52641,1024,128,6
0.000256,8.192,1024,128,8
0.00028,9.36229,1024,128,10
0.000297,10.5917,1024,128,12
0.000353,10.3966,1024,128,14
0.000353,11.8819,1024,128,16
0.000419,11.2616,1024,128,18
0.000436,12.025,1024,128,20
0.000607,12.956,1024,128,30
0.00082,12.7875,1024,128,40
0.001033,12.6885,1024,128,50
0.001134,13.8701,1024,128,60
IN1024OUT256,IN1024OUT256,,,BATCH
0.000139,3.77186,1024,256,1
0.000154,6.80894,1024,256,2
0.000244,8.59488,1024,256,4
0.000279,11.275,1024,256,6
0.000334,12.5578,1024,256,8
0.000427,12.2784,1024,256,10
0.000522,12.0526,1024,256,12
0.000549,13.3698,1024,256,14
0.000598,14.0278,1024,256,16
0.00069,13.6771,1024,256,18
0.000781,13.4261,1024,256,20
0.001094,14.3772,1024,256,30
0.001425,14.7169,1024,256,40
0.001862,14.0786,1024,256,50
0.00217,14.4964,1024,256,60
IN1024OUT512,IN1024OUT512,,,BATCH
0.000156,6.72164,1024,512,1
0.000238,8.81156,1024,512,2
0.000324,12.9454,1024,512,4
0.000519,12.1223,1024,512,6
0.0006,13.981,1024,512,8
0.000794,13.2062,1024,512,10
0.000866,14.5299,1024,512,12
0.001048,14.0077,1024,512,14
0.001128,14.8734,1024,512,16
0.001318,14.3205,1024,512,18
0.001417,14.7999,1024,512,20
0.00221,14.2341,1024,512,30
0.003086,13.5914,1024,512,40
0.004814,10.8909,1024,512,50
0.004517,13.9284,1024,512,60
IN1024OUT1024,IN1024OUT1024,,,BATCH
0.000248,8.45626,1024,1024,1
0.000346,12.1223,1024,1024,2
0.0006,13.981,1024,1024,4
0.000884,14.2341,1024,1024,6
0.001144,14.6654,1024,1024,8
0.001411,14.8629,1024,1024,10
0.001675,15.0244,1024,1024,12
0.003923,7.4841,1024,1024,14
0.002524,13.2941,1024,1024,16
0.004799,7.86596,1024,1024,18
0.004401,9.53034,1024,1024,20
0.006365,9.88446,1024,1024,30
0.009325,8.99583,1024,1024,40
0.010653,9.84301,1024,1024,50
0.01148,10.9607,1024,1024,60
IN1024OUT2048,IN1024OUT2048,,,BATCH
